assignee
Anhui Masteel Surface Technology Co., Ltd.
Huazhong University of Science and Technology
Zhejiang Five Cakes and Two Fish Industry Co., Ltd.
Ford Global Technologies
Henan Thinking Rail Transit Technology Research Institute Co., Ltd.
Shanghai Siemens Line Protection System Co., Ltd.
Jianchangbang Pharmaceutical Co., Ltd.
Shikansen (Hangzhou) Shading Technology Co., Ltd.
Qualcomm Incorporated
Wuhan University
Nanjing University of Science and Technology
Qilu University of Technology
Guangzhou Runfeng Technology Co., Ltd.
Shanshan New Materials (Quzhou) Co., Ltd.
Zhangzhou Mandao Smart Home Co., Ltd.
Fiberhome Communication Technology Co., Ltd.
Huazhong University of Science and Technology
Zhuhai Da Hengqin Technology Development Co., Ltd.
Jiangsu University
Guizhou University for Nationalities
Continental Motors Co., Ltd.
Anhui Magang Jiahua New Building Materials Co., Ltd.
Foshan Yuehongyi Biotechnology Co., Ltd.
Beijing Aerospace Data Co., Ltd.
Chen Xiaocai
Gaoyou Shunda Power Electromechanical Co., Ltd.
Beijing Zhilianan Technology Co., Ltd.
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
Kunshan Tongri Industrial Automation Co., Ltd.
China Railway 19th Bureau Group Co., Ltd.
Huoshan Zhixing Information Technology Co., Ltd.
Hunan University
Beijing University
Guangdong Vocational and Technical College
Hegang Co., Ltd. Chengde Branch
Shougang Group Co., Ltd.
Wuhan University of Science and Technology
Shaoxing People's Hospital
Datang Mobile Communication Equipment Co., Ltd.
Hefei Shiya Technology Co., Ltd.
Tongji University
Yueyang Kochi Building Materials Co., Ltd.
Liu Qingxu
South China University of Technology
Sumitomo Electric Industries, Ltd.
Ordos Yuansheng Optoelectronics Co., Ltd.
Alipay (Hangzhou) Information Technology Co., Ltd.
Zhejiang Jieshangjie New Material Co., Ltd.
Wu Lianzi
The 55th Research Institute of China Electronics Technology Group Corporation
Guilin University of Technology
Nanjing Yongmao Technology Co., Ltd.
Jinzhai County Yinong Agricultural Technology Development Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Sichuan Zhongwu Hongyu Technology Co., Ltd.
Pinghu Kangdazhi Precision Technology Co., Ltd.
Beijing Guojin Yuanfu Technology Co., Ltd.
Jiangxi Huachen Food Co., Ltd.
Beijing Low Carbon and Clean Energy Research Institute
Huawei Technologies Co., Ltd
Baidu Online Network Technology (Beijing) Co., Ltd.
University of Science and Technology Beijing
Xilinx Corporation
Shandong Cancer Institute (Shandong Cancer Hospital)
Huawei Technologies Co., Ltd
Xi'an Jiaotong University
Xinjiang Zhonghe Co., Ltd.
Guangzhou Leyaoyao Information Technology Co., Ltd.
State Grid Shanghai Electric Power Company
Qingdao University of Technology
Hunan University of Science and Technology
Luoyang Normal University
Qingdao Hessel New Material Technology Co., Ltd.
Shanghai Bobs Beach Network Technology Co., Ltd.
Anhui Huazhong Machinery Engineering Co., Ltd.
Joyoung Co., Ltd.
Strait (Jinjiang) Umbrella Technology Innovation Center Co., Ltd.
Shenzhen Shenglu IOT Communication Technology Co., Ltd.
Spreadtrum Communications (Shanghai) Co., Ltd.
Tonghe Company
edwards ltd.
Laoken Medical Technology Co., Ltd.
Zhejiang Zhirou Technology Co., Ltd.
New H3C Technology Co., Ltd.
Jiaxing Tangdong Auto Parts Co., Ltd.
Beihang University
Lin Yuxian
Regents of the University of California
Midea Group Co., Ltd.
Jiangsu Provincial People's Hospital (The First Affiliated Hospital of Nanjing Medical University)
Jinling Institute of Technology
Ruijie Networks Co., Ltd.
Zhejiang University
Sino-Russian International Medical Research Co., Ltd.
Nokia Communications
Shenzhen Advanced Technology Research Institute
Huazhong University of Science and Technology
Jilin University
Jiangnan University
Southwest Jiaotong University
Yongdeng Fuyuan Agricultural Technology Development Co., Ltd.
Beijing Space Technology Development and Test Center
Jiangnan University
Shenzhen Qinghong Environmental Protection Technology Co., Ltd.
Shanghai Hehui Optoelectronics Co., Ltd.
Nestlé Products Ltd.
Hangzhou Normal University
Samsung Electronics Co., Ltd.
Shanghai Health Medical College
China Mobile Communications Group Hunan Co., Ltd.
Atomic Hi-Tech Co., Ltd.
Shenyang University of Technology
LG Display Co., Ltd.
Tianao Elevator (China) Co., Ltd.
Suzhou University
Jiangxi Ouke Software Development Co., Ltd.
Anhui Shangzao Intelligent Equipment Technology Co., Ltd.
Suzhou Capital Jiajing Environmental Technology Co., Ltd.
Institute of Mechanics, Chinese Academy of Sciences
Tianjin Agricultural College
LG Display Co., Ltd.
China Construction Second Engineering Bureau Co., Ltd.
Zhejiang Ocean University
China Mobile Communications Corporation
Shanghai MicroPort Medical Devices (Group) Co., Ltd.
Hangzhou Gaudi Machinery Co., Ltd.
Henan Zhongye Heavy Industry Machinery Co., Ltd.
Beijing Aerospace Hengfeng Technology Co., Ltd.
Zhejiang Wanfang Biotechnology Co., Ltd.
Shenyang University of Technology
Central South University
AVIC Lithium Battery (Luoyang) Co., Ltd.
Sherwin-Williams Investment Management Co., Ltd.
Lenovo (Beijing) Co., Ltd.
Foshan Kedisun Technology Co., Ltd.
Shanghai Sinan Satellite Navigation Technology Co., Ltd.
Yunhe County Xinhua Paint Factory
Taizhou Leisheng Optoelectronics Technology Co., Ltd.
Comba Telecom System (China) Co., Ltd.
Jiangsu Xiansheng Medical Equipment Co., Ltd.
Luoyang Jiachang Machinery Equipment Co., Ltd.
Pengcheng Laboratory
Shenzhen Qiangda Circuit Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Apple
Wuxi Evergrande Electronic Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Hangzhou Keli Chemical Co., Ltd.
Zhongshan North Jinghua Precision Optics Co., Ltd.
Flying Fox Information Technology (Tianjin) Co., Ltd.
S. Cozart
Yang Rui
Hangzhou Sanhua Research Institute Co., Ltd.
Hunan Cheetah Motor Co., Ltd.
Nanjing University of Technology
Shandong Phoenix Pharmaceutical Co., Ltd.
Shengzhou Motian Automation Equipment Co., Ltd.
Yangzhou Shuangbao Power Equipment Co., Ltd.
LG Chem Co., Ltd.
Xiangtan University
taiwan integrated circuit manufacturing co., ltd.
Innovation Advanced Technology Co., Ltd.
Anhui Gaoya Home Furnishing Co., Ltd.
Institute of Agricultural Quality Standards and Testing Technology, Chinese Academy of Agricultural Sciences
Hegang Co., Ltd. Tangshan Branch
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Brother Industries Co., Ltd.
Zongren Technology (Pingtan) Co., Ltd.
Shanghai Qingshen Technology Development Co., Ltd.
Guangdong Midea HVAC Equipment Co., Ltd.
Jinhua Knight Industry and Trade Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Changan University
Zhejiang Kelong Pigment Technology Co., Ltd.
Central South University
People's Liberation Army Air Force Engineering University
Qingdao Yishe Technology Co., Ltd.
Hefei Xiakang Electronic Commerce Co., Ltd.
Beijing Dajia Internet Information Technology Co., Ltd.
Hangzhou Woqu Technology Co., Ltd.
Schneider Electric Industries
University of Science and Technology Beijing
Zhejiang Institute of Media
Southeast University
Tsinghua University
Southeast University
Shan Dong University
Beijing Yuanxin Technology Co., Ltd.
Jiangsu Aisuo New Material Technology Co., Ltd.
Huizhou Huamei Hongji Umbrella Products Co., Ltd.
Guangzhou Guiqin Equipment Engineering Co., Ltd.
Shanghai Jiaotong University
LG Display Co., Ltd.
Shenzhen Sunwin Technology Co., Ltd.
Hunan Borui Construction Group Co., Ltd.
Shandong Guangmingyuandi Children's Furniture Technology Co., Ltd.
Boya Biopharmaceutical Group Co., Ltd.
Chery Automobile Co., Ltd.
Ningxia Jiyuan Juntai New Material Technology Co., Ltd.
Casio Computer Co., Ltd.
Dongguan Yongtao New Material Technology Co., Ltd.
Quanliantong Co., Ltd.
Anhui Xinkun Purification Equipment Co., Ltd.
Harbin Engineering University
Taixing Junxing Communication Equipment Co., Ltd.
Auckland University of Technology
Beijing Construction Engineering New Building Materials Co., Ltd.
Chongqing Xiaoyudian Micro-loan Co., Ltd.
Huawei Technologies Co., Ltd
Nubia Technology Co., Ltd.
He Chao
Quanzhou Axin Automobile Maintenance Co., Ltd.
State Grid Anhui Electric Power Co., Ltd.
Shaanxi University of Science and Technology
Shenzhen Houcun Nano Pharmaceutical Co., Ltd.
Shanghai Space Power Research Institute
Hubei Baike Chemical Co., Ltd.
Jiangxi Agricultural University
Zhejiang University of Technology
Zhejiang University of Technology
Hangzhou Sunking Electronics Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Nantong Keshun Building New Materials Co., Ltd.
Heshan Kaixin Intelligent Manufacturing Industry Co., Ltd.
Ruizhe Technology Co., Ltd.
Nanjing NARI Relay Engineering Technology Co., Ltd.
Telecommunications Science and Technology Research Institute Co., Ltd.
Shengzhou Wanrui Technology Co., Ltd.
Jilin University
Tongji University
Institute of Microelectronics, Chinese Academy of Sciences
Chengbang Ecological Environment Co., Ltd.
Dalian Second Transformer Group Co., Ltd.
Jianlong Beiman Special Steel Co., Ltd.
Suzhou College
Shanghai University
Nanjing University of Information Technology
Yiwu Youchuang Intellectual Property Operation Co., Ltd.
Guangdong Wenbo Energy Saving and Environmental Protection Technology Co., Ltd.
Anhui Guoli Logistics Co., Ltd.
Si County Feihong Sports Culture Development Co., Ltd.
Yuhuan Chenghe Industrial Design Co., Ltd.
Xingtai Vocational and Technical College
Fuzhou Urban Construction Design and Research Institute Co., Ltd.
Pan Zhiyuan
Shanghai Huahong Grace Semiconductor Manufacturing Co., Ltd.
Wuhan Tianma Microelectronics Co., Ltd.
Institute of Microbial Epidemiology, Academy of Military Medical Sciences, Chinese People's Liberation Army
Beijing University of Posts and Telecommunications
Wuhan Marine Machinery Co., Ltd.
Zhengzhou University
Jiangsu Huacheng Technology Co., Ltd.
Xiamen Weibiao Sanitary Ware Co., Ltd.
Henan Escort Industrial Co., Ltd.
Wenzhou Lepa Machinery Technology Co., Ltd.
Borgward Automobile (China) Co., Ltd.
Lai Yingmao
Suzhou White Automation Technology Co., Ltd.
Jurong Xinhe Hardware Electric Co., Ltd.
Tongji University
Spreadtrum Communications (Shanghai) Co., Ltd.
ZTE Corporation
Wuhan University
Mongolian university
Shanghai Yipixi Construction Technology Co., Ltd.
Siemens Gamesa Renewable Energy
Wuhan Institute of Technology
Elekta Limited
Beijing Xiaomi Mobile Software Co., Ltd.
Apple
Institute of Telecommunications Science and Technology
Changchun FAW Sihuan Huatong Auto Parts Co., Ltd.
China Railway Construction Heavy Industry Group Co., Ltd.
Ningde Teachers College
Beijing Institute of Control Engineering
China Telecom Posts and Telecommunications Consulting and Design Institute Co., Ltd.
Yu Jianzhong
Huawei Technologies Co., Ltd
Southeast University
Fujian Haiwenming Marine Technology Development Co., Ltd.
China United Network Communications Group Co., Ltd.
National Nanoscience Center
Shenzhen Beike Biotechnology Co., Ltd.
Light Chaser Animation Design (Beijing) Co., Ltd.
Harbin Engineering University
Shanghai Institute of Applied Physics, Chinese Academy of Sciences
South China University of Technology
General Electric Company
Guangdong Dinglisen New Materials Co., Ltd.
Huazhong Agricultural University
Johnson & Johnson Consumer Corporation
Shenzhen Zhongxing Microelectronics Technology Co., Ltd.
Taizhou Huangyan Dingjian Plastic Industry Co., Ltd.
Shenzhen Langchengshi Regional Planning and Design Co., Ltd.
Huawei Technologies Co., Ltd
Zhengzhou Institute of Light Industry
Xi hua University
Shanghai Xinhang Stainless Steel Pipe Co., Ltd.
Tsinghua University
Fujifilm Co., Ltd.
Lin Bogang
Tianjin Taixin Rubber Products Co., Ltd.
Hui'an Bamboo Dian Dian Communication Equipment Co., Ltd.
Fujian Normal University
Guangding Rubidium Industry (Guangzhou) Group Co., Ltd.
Samsung Electronics Co., Ltd.
Guangxi Jinhua Tea Industry Co., Ltd.
Zhejiang Lingpao Technology Co., Ltd.
Hefei Nianping E-Commerce Co., Ltd.
Dongguan Construction Engineering Group Co., Ltd.
Shen Xin
Huaibei Jinhui Green Building Technology Co., Ltd.
Huawei Technologies Co., Ltd
Hebei Construction Group Co., Ltd.
Institute of Geochemistry, Chinese Academy of Sciences
Henan Zhongyuan New Material Technology Co., Ltd.
Datang Mobile Communication Equipment Co., Ltd.
Chengdu Research Base of Giant Panda Breeding
Yanshan University
South China Normal University
Tianjin Kangxintongda Technology Co., Ltd.
Zhejiang Henglan Technology Co., Ltd.
Qingdao University of Science and Technology
Boshengji Pharmaceutical Technology (Suzhou) Co., Ltd.
China Shipbuilding Industry Corporation 79th Research Institute
Nanhua Group Research Institute
Xinjiang Academy of Agricultural and Reclamation Sciences
Huawei Technologies Co., Ltd
Suzhou Chuanglibo Technology Co., Ltd.
Huawei Technologies Co., Ltd
Zhuhai Ruijie Packaging Products Co., Ltd.
Suzhou Economic and Trade Vocational and Technical College
Shanghai Jiaotong University
Xue Baoyu
Hangzhou Zhuyangxin Pharmaceutical Co., Ltd.
Maanshan Lier Kaiyuan New Material Co., Ltd.
Aplink Co., Ltd.
Qingdao Ocean New Material Technology Co., Ltd.
Beijing Zhongda Kehui Technology Development Co., Ltd.
Schaeffler Technik GmbH & Co. KG
Nanjing Vehicle Chain Technology Co., Ltd.
Guangdong Power Grid Co., Ltd. Guangzhou Power Supply Bureau
Shanghai Zechao Industrial Co., Ltd.
Jiaxing Yufeng Auto Parts Co., Ltd.
Foshan Yuetong Machinery Manufacturing Co., Ltd.
Northeast Electric Power University
Rifco Co., Ltd.
Shaoxing Shangyu District Shunxing Electric Co., Ltd.
Xi'an Petroleum University
Port Company
Chongqing Jianlong Furniture Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Zhejiang Huanhu Ecological Construction Co., Ltd.
Shanghai Huali Microelectronics Co., Ltd.
Beijing Ditan Hospital Affiliated to Capital Medical University
The 715th Research Institute of China Shipbuilding Industry Corporation
Ningxia Jinbole Food Technology Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Shin Yuji
Zhuhai Youte IOT Technology Co., Ltd.
Foshan Nuanwu Technology Co., Ltd.
Huawei Technologies Co., Ltd
Shao Yi
Jiangsu Huasheng Fastener Manufacturing Co., Ltd.
Shaanxi Normal University
Henan Bioengineering Technology Research Center
Kunshan Longteng Optoelectronics Co., Ltd.
Huazhong Agricultural University
Liaoning Yinsheng Cement Group Co., Ltd.
KOA Corporation
CRSC Communication Information Group Co., Ltd.
Anhui University of Science and Technology
Guangdong Wanye Electric Power Fire Engineering Co., Ltd.
1002 Information Technology (Cangzhou) Co., Ltd.
Shanghai Fuxin Intelligent Traffic Control Co., Ltd.
Hunan Agricultural University
Linshu Dongsheng Abrasives Co., Ltd.
Affiliated Hospital of Qingdao University
Zhejiang Dingxing Enterprise Management Co., Ltd.
Hangzhou Jintai Plastic Industry Co., Ltd.
The Second Affiliated Hospital of Soochow University
group photo electronics co., ltd.
Shan Dong University
Calto Scientific Corporation
Sutai Intelligent Technology (Shanghai) Co., Ltd.
Nantong Longxiang New Material Technology Co., Ltd.
Affiliated Hospital of Qingdao University
Zhu Jieping
Institute of Advanced Technology, University of Science and Technology of China
Hangzhou Xiaocheng Industrial Design Co., Ltd.
Changzhou Chaoyi Signage Co., Ltd.
Quanjiao County Chongming Rice Industry Co., Ltd.
Bosch Rexroth (Beijing) Hydraulic Co., Ltd.
Zhang Zhen
Zhejiang Institute of Technology
illinois tool products co., ltd.
Anhui Changyu Pump and Valve Manufacturing Co., Ltd.
Beijing Institute of Control and Electronic Technology
esculep ag
Zhejiang University
United Microelectronics Center LLC
Guangxi Hongqiang New Materials Co., Ltd.
Sichuan Atlantic Welding Materials Co., Ltd.
Jiangxi Yunteng Engineering Materials Co., Ltd.
Ningbo Double New Material Co., Ltd.
Hunan University
Yang Dejun
Chongqing University
China Mobile Communications Group Sichuan Co., Ltd.
Jiangsu Jintuo Machinery Co., Ltd.
Shenzhen Hongxiang New Material Development Co., Ltd.
Lianyungang Xingyao Material Technology Co., Ltd.
Wang Xiang
Wenzhou Sikurui Machinery Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Northwest Nonferrous Metals Research Institute
Innovation Advanced Technology Co., Ltd.
Huazhong University of Science and Technology
Xi'an Keyisi Biotechnology Co., Ltd.
Wang Xuebin
Jiangsu Poultry Research Institute
Tangshan Lvxin Agricultural Development Co., Ltd.
Chengdu BOE Optoelectronics Technology Co., Ltd.
Zhuhai Lianyun Technology Co., Ltd.
Huawei Technologies Co., Ltd
Quanzhou Kaihua New Material Technology Co., Ltd.
Kunming University of Science and Technology
Wen Xu
Sichuan Traffic Survey and Design Research Institute Co., Ltd.
Jiaxing Shengkang Information Technology Co., Ltd.
Nanyang Institute of Technology
LG Electronics Co., Ltd.
Nanjing Iron and Steel Co., Ltd.
Wuyi University
Zhejiang Supor Home Appliance Manufacturing Co., Ltd.
Nippon Telegraph and Telephone Co., Ltd.
Wuhan Tianma Microelectronics Co., Ltd.
Beijing University
Huawei Technologies Co., Ltd
Qingdao Haier Co., Ltd.
Hangzhou Anmaisheng Intelligent Technology Co., Ltd.
Northeast Electric Power University
China National Petroleum Corporation
Shenzhen Stereolith Technology Co., Ltd.
Solomon Systech (China) Co., Ltd.
Haier Smart Home Co., Ltd.
Rizhao Yurong Plastic Industry Co., Ltd.
CRRC Qingdao Sifang Rolling Stock Co., Ltd.
Jiangsu Shagang Group Co., Ltd.
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
Kuala Lumpur Kepong Gold Petrochemical Pte Ltd
Jiangmen Dihao Motorcycle Co., Ltd.
China Telecom Corporation Limited
Zhejiang Jinguo Intellectual Property Co., Ltd.
Aiva (Beijing) Technology Co., Ltd.
Heilongjiang Yipin Biotechnology Co., Ltd.
Fiberhome Communication Technology Co., Ltd.
China Railway 12th Bureau Group Co., Ltd.
Foshan Tianji Technology Co., Ltd.
Shan Dong University
Vivo Mobile Communication Co., Ltd.
Hefei Juyi Power System Co., Ltd.
Zhang Jinlong
Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences
Shenzhen Yanuo Technology Co., Ltd.
China University of Petroleum (East China)
Xi'an Institute of Optics and Fine Mechanics, Chinese Academy of Sciences
Zhejiang Institute of Technology
Changjiang Normal University
Ericsson Sweden Ltd.
HannStar Color Crystal Co., Ltd.
Beijing Tianhaida Technology Co., Ltd.
Ningxia Medical University
PLA National University of Defense Technology
Sichuan Liuhe Special Metal Materials Co., Ltd.
Hangzhou Fucai Packaging Products Co., Ltd.
sotong development co., ltd.
Xia Luyao
Yiwu Jiaqian Technology Co., Ltd.
Nanjing Zhongxing Software Co., Ltd.
Anhui Yuanhui Environmental Technology Co., Ltd.
Dongguan Hongri Metal Technology Co., Ltd.
Wuhan Heer Environmental Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Yangzhou Xintai Heating Element Manufacturing Co., Ltd.
Suzhou Jiadahe Machinery Co., Ltd.
Zhejiang University of Technology
Zhejiang Daoyuan Culture Development Co., Ltd.
Hebei Zhonghang High Energy Technology Co., Ltd.
Foshan Huizhiyuan Chengbei Sewage Treatment Co., Ltd.
Shanghai Huali Integrated Circuit Manufacturing Co., Ltd.
Hainan unitersity
Fujitsu Corporation
Ludong University
Taizhou Hongxi Industrial Design Co., Ltd.
LG Display Co., Ltd.
Zhejiang Academy of Agricultural Sciences
Wuhan Tiantianhao Biological Products Co., Ltd.
Wuhan Huaxing Optoelectronics Technology Co., Ltd.
Shanghai Jinchang Engineering Plastics Co., Ltd.
Rockchip Microelectronics Co., Ltd.
Zhejiang Zhirou Technology Co., Ltd.
Beijing Yingshi Ruida Technology Co., Ltd.
Quanzhou Kenxin Hydraulic Machinery Co., Ltd.
The 55th Research Institute of China Electronics Technology Group Corporation
Zhuhai Youte IOT Technology Co., Ltd.
Guangzhou Dingjia Computer Technology Co., Ltd.
Zhengzhou Yutong Heavy Industry Co., Ltd.
Nantong university
New H3C Technology Co., Ltd.
Anhui Jianghuai Automobile Group Co., Ltd.
Jiangsu Lihuai Iron and Steel Co., Ltd.
Shenzhen Huaxing Optoelectronics Technology Co., Ltd.
Innovation Qizhi (Chongqing) Technology Co., Ltd.
Beijing Kai Ai Eye Hospital Management Co., Ltd.
Hunan Goodnight Mattress Co., Ltd.
Jiangsu Min'an Electric Vehicle Co., Ltd.
Bian Zhongya
Heilongjiang Geological Survey and Research Institute
Zhejiang University of Technology
Archimedes (Shanghai) Media Co., Ltd.
GCL Energy Technology Co., Ltd.
Guodian Nanjing Automation Co., Ltd.
Tsinghua University
Chongqing Zhejiang University Net New Technology Co., Ltd.
Xi'an Wujiu Information Technology Co., Ltd.
Beijing Institute of Satellite Environmental Engineering
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Yongjia County High Temperature Spring Factory
Guangdong Medical University
Shandong Ocean Shengjing Fishery Technology Co., Ltd.
Hunan Guoke Microelectronics Co., Ltd.
Guangdong Institute of Rare Metals
Shandong Yifeng Biochemical Environmental Protection Co., Ltd.
Xuzhou Chengkai Intellectual Property Service Co., Ltd.
three-dimensional communication co., ltd.
