s1,s2,label,pred
你还不休息吗,你不休息吗,0,1
你觉得自己漂不漂亮,我感觉我很好看,1,0
搞笑的话,说个搞笑话,0,1
我非常伤感,我的心里的伤谁知晓,0,1
快手短视频,在快手里,1,0
手机屏幕弯了,手机屏幕歪了,0,1
喜欢小布小布出一个脑筋急转弯,给我出几个脑筋急转弯,1,0
你能给我什么答复,问你个毛线,0,1
你喜欢哪些明星,你喜欢什么样的明星,0,1
想听个冷笑话,重新讲一个笑话,0,1
是什么节日,什么节日今天,1,0
说大声一点,声音大一点,0,1
你真是个大傻瓜,小怪兽是个大傻吊,1,0
你好啊骚年,真骚啊你,1,0
那你等一下,那你等一下我们把,0,1
你去了哪里,你走哪去了,1,0
以抗美援朝战争为题材的,以抗美援朝战争为题材的影片,1,0
请问你妈多大了,我妈妈几岁了,1,0
微信打开v怎么打开,微信怎打开,1,0
你好宝贝,宝贝到什么地方去了,1,0
百度搜索,打开百度搜索,0,1
为什么进入相机不操作就会自动退出的原因,为什么点开相机自动退回？,0,1
你别跟我讲,别跟我说话,0,1
说我爸爸是你,说你是我爸爸,0,1
播放薛之谦的演员,薛之谦的演员,1,0
怎要关闭数据流量,小布关掉流量怎么回事,1,0
就是不理你,我不理你了,0,1
呵呵这个可一点都不好笑,一点都不搞笑,0,1
换个脑筋急转弯,讲一下脑袋急转弯,1,0
你叫我啊,你好你在叫我是吗,1,0
你认为我老公是坏蛋吗,请问我老公是傻逼吗,0,1
再给我出个脑筋急转弯,我们玩脑筋急转弯吧,0,1
邓紫棋的歌,邓紫棋在哪一个放的一首歌,1,0
我觉得你与众不同,我觉得你可以,0,1
oppoa73怎么着,poopa73是什么,1,0
我一直把你当朋友,我把你当爱人你却把我当兄弟,0,1
我好无助,我没有可以依靠的人,0,1
那你现今在干嘛,现在的你在干嘛,0,1
我过不去你帮我开下机,你帮我开机,1,0
你好没有用啊,没用的东西,1,0
你相当懂我,你好厉害,1,0
你啥时候能做到,你啥时候就该做了,0,1
为啥我下载的软件会自动停止运行,软件商店怎么下载自动暂停,1,0
我唱歌好不好听hello,你觉得我唱歌好听吗,0,1
你陪我一下,那你就来陪我做,0,1
你的电量不多了,你手机马上就要没电自动关机了,1,0
一点五乘零点四,一点四乘零点五,0,1
讲很多取笑,一个很好笑的笑话,1,0
云服务恢复异常,云服务-联系人同步/恢复异常,1,0
你等一下就可以了,等一下下,0,1
边充电边听歌会影响手机电池的耐用吗,边听歌边充电会影响电池吗,1,0
我当然要骂你,我就要骂你,0,1
我觉得你笨,那你确实挺笨的,0,1
你能帮我找到霍尊的哄睡的资料,霍尊干吗让我哄她睡觉,1,0
主题商店,主题商店的介绍,1,0
便提醒我,提醒我提醒我,0,1
手机开启震动也不会震动了,手机震动开启了手机震动没反应,1,0
有没有骗我,你你千万不能诳我,1,0
我可爱你了,我好爱你啊,1,0
以后叫我爸爸好吗,以后你可以叫我老豆了,1,0
我不认识字,我不懂字,0,1
微信视频带美颜,这个微信视频带美颜功能吧,1,0
手电筒给我关了,把手机灯关上,1,0
k7支持nfc吗,K1是否支持NFC,1,0
有人打我怎样办,告诉我有人打我的话，怎么办,0,1
你确实不够懂我,你完全不懂我,0,1
多多儿歌多多,儿歌多多,0,1
帮我清理一下垃圾吧,清理垃圾在哪里,1,0
相信自己就好了,你就这么相信自己,1,0
后续猜谜语,讲个谜语,0,1
你这个家伙你去哪里,你这个家伙在什么地方,1,0
我觉得我好看吗,我是美不美,0,1
我没有什么要说的你走吧,我不说这个了你走吧,0,1
我的密是多少,请问我这个密码多少,0,1
明天会不会出太阳,明天有太阳吗,0,1
明天再来难道不好吗,明天再来,0,1
你不应该没有别的名字啊,你还有别的名字吗,1,0
三十分钟后的闹铃,半小时后的闹铃,0,1
我很快乐,我喜欢我很快乐,1,0
小布打开迷你,打开迷你世,1,0
你在骗我吧,你这个骗子你骗我,0,1
可以了没有,怎么可以了这样呢,1,0
没有人叫你呀,谁叫你来,1,0
你不爱我了，要离开你怎么办,我不爱你了怎么办,1,0
你就是我的全部,唯有你不可失去,0,1
我想起床了,我不想待在床上了,0,1
你是在嘲笑我吗,你给我的感觉是在嘲笑我,0,1
手机关机开机循环,手机关机开机无限循环,1,0
为什么照片删不掉,为什么欧珀有些照片删不掉？,1,0
你知道我在哪里,我在哪我在哪我在哪,1,0
弯曲的曲怎么写,曲怎么写,1,0
我男朋友是你,你是我男朋友,0,1
你是个有能力人的,你真的是个人才,0,1
再给我讲个笑话吧,笑话哈哈,1,0
说个笑话给我听一下,经典笑话,1,0
你不说我怎么知道,没人给我说我也想知道啊,1,0
我很能说话,我就会说话,0,1
小布讲个笑话来听听,讲一个笑话故事,0,1
我想谈论你的经历,我想谈论你,1,0
我老婆不见了,我老婆怎么不见了,1,0
唱首歌来听一听,来一首歌怎么样,0,1
开开心心视频通话,给开开心心视频通话,1,0
朋友发给我的朋友圈,朋友圈怎样发送,1,0
2020年的日历怎么这么诡异,为什么2020年的日历怎么诡异,1,0
今天的话题,今天的题目,0,1
今天晚上吃啥,你晚上吃啥,1,0
我确实不信,我也不信,0,1
叫我大哥,大哥就是我,0,1
我552呼叫他,552呼叫怎么设置,1,0
万什么千什么,千什么万什么,0,1
使用耳机能否减少辐射,通话使用耳机能否减少电磁辐射,1,0
你怎么知道我还想玩,我还想玩,1,0
我走了哦,我还是走吧,1,0
拜拜的时候，永远不见的歌,后会无期的意,1,0
那你陪我聊天吧,陪我聊天呢,0,1
三十分钟以后喊我,半个小时过后叫我,0,1
不帮我打开计算机,帮我打开计算机,1,0
我不想听音乐,我不想听,1,0
你厉害还是没我厉害,我没你厉害,0,1
你很矮吗,你的身高是多少,0,1
讲很多笑话,讲一个非常好笑的笑话,1,0
加油我会支持你的,加油你是最棒的我支持你,0,1
你在说什么,你说什么了,1,0
大哥是我的名字,叫我大哥,0,1
qq在哪里,帮我在qq上挂号qq号,1,0
小布你给我讲笑话,还想听笑话,0,1
怎么设置信息闪光灯,来信息怎么能让闪光灯闪,1,0
倾听中聆听中,倾听中,0,1
如果我没有钱怎么弄啊,可是我没有钱怎么办,0,1
手机格式化后怎么恢复以前的东西,找回手机格式化在哪,1,0
打开声音讲个笑话,给我讲个笑话故事,1,0
你是我的女朋友好吗,你是我的女朋友吗,0,1
我爱你你是我的朱丽叶,我爱你啊,0,1
我娶你是不可能的,我不娶你,0,1
你看我不弄死你,我弄死你,1,0
我爱你怎么翻译,翻译一下我爱你,1,0
明天要不要读书,明天我要不要去念书呢,0,1
我希望你陪陪我,我爱你陪陪我我陪陪你,0,1
你必得加油,不努力能行吗,0,1
来学我说说话,你能不能学我说话,0,1
请帮我打开便签,便签在哪里,1,0
需要什么帮助吗,这歌啥请问有什么帮助吗,1,0
我会觉得你说话好听吗,我说话声音太难听了,1,0
什么东西啊,是什么东西啊,1,0
怎么可能不爱你,我太爱你了,0,1
今天有什么新鲜事,今天有什么特别,0,1
你先睡眠吧,你先休息一会吧,0,1
我想大声告诉你,告诉你大声我想,0,1
不明天有没有雨,明天能下雨吗,1,0
声音调大一点,音乐声音调大一点,0,1
你怎么会不是中国人呢,你不是中国人吗,0,1
我来帮我我来帮你,我就帮你了，怎么办,1,0
再说一个冷笑话吧,讲个冷笑话,0,1
我这是在哪里啊,请问，你在哪里,1,0
我心里不舒服,我不开心,0,1
遇到坏人的我怎么办,我遇到坏人了,1,0
打开蓝牙设备设置,设置蓝牙设备,0,1
今天我就毕业了,今天我们的毕业典礼,1,0
会做什么，会做什么,用有什么用啊,1,0
电脑玩游戏太卡怎么办,电脑玩游戏有点卡怎么办,0,1
我相当可以,我觉得我可以,1,0
那你你想怎么样,你介意我怎样吗,1,0
长得好看还不让看,我长得不好看,1,0
你跟我聊微信了,你理我了吗,1,0
我我吃火锅你吃火锅底料,我吃火锅你是火锅底料,0,1
原来你是女孩子呀,我一直以为你是男孩子,1,0
手机有时候卡屏,手机有时候卡顿,0,1
如何解锁手机锁死,手锁死怎么解除,0,1
送礼物什么最重要,那你说什么礼物是最好的,0,1
小布你会玩成语接龙吗,跟我玩成语接龙,0,1
我听个笑话,请再讲一番笑话,1,0
怎样找到以前在相册中删除的照片,我想找到以前删除的照片,1,0
你怎么可能做不到,你是怎么做到的,0,1
你就是个笨蛋,你是个傻吊吗,1,0
如何收到验证码,接收不到验证码怎么办,1,0
我们要上课了,现在要去上课了吗,1,0
布娃娃听故事,故事，听故事,1,0
今天的新闻有哪些,小布播放今天的新闻,1,0
a32充电的,a32的充电,1,0
你们怎么会没钱呢,你们有钱吗,0,1
我不是我是否你说的,我是对你说的不是对我自己的说,1,0
你在学什么,你在读什么学校,0,1
明天六点二十叫我起床,明天六点二十起床,1,0
你不要说话吗,我不想听到你说话,1,0
你知道我要去找小v的,我要去找小薇了,1,0
今天的学习结束了,我放学了,0,1
你好我是你的好朋友,我们是好朋友,0,1
你可以做我男朋友吗,你做我男朋友吗,0,1
打开微信扫描,打开微信扫码,0,1
我的手机要更新,我想要更新手机系统,0,1
明天的天气多少度,小布明天什么天气,0,1
微信电脑,微信电脑版,0,1
休息用英语怎么说,休息的英文,0,1
为什么充电器充不上,充电器为什么一会儿充上一会儿充不上,0,1
你不是男孩子吗,告诉我的你的性别是不是男孩子,1,0
主题商店中资源的,主题商店中资源的介绍,0,1
亲爱的，热爱的,亲爱的热爱的的评价怎么样,1,0
怎么屏蔽网页弹出广告,网页上的小广告庸屏蔽,1,0
自己站起来,你站起来,1,0
我之前没见过,我们还没有见过,0,1
那我是不是给你充电呢,那我不给你充电呢,1,0
跟你聊天很开心,很开心今天能够跟你在一起聊天,0,1
明天很冷吗,明天还会这么冷吗,0,1
可以唤醒你吗,怎么就可以唤醒你了呢,1,0
你弄啥来,你在干什么,0,1
我快到了,终于要到了,1,0
让我来告诉你,让我来告诉你这个题怎么做,1,0
钱被弄丢了,我没钱了,0,1
我的oppo手机账户密码忘了怎么找回,我的oppo登录账号密码忘记了怎么办,0,1
吃饱了撑的,吃饱就犯困,0,1
手环和手机配对,手环配对,0,1
你会学鸡叫吗,给我学个鸡叫,1,0
想了解更多新闻吗,最新新闻,0,1
你要说话,你要陪我说话,1,0
谢谢你可以休息了,歇歇吧得到你帮助真是万幸,0,1
手环中奖那个什么时候给钱,手环中奖那个钱什么时候返,1,0
我猜错了,我好像猜错了,0,1
您好你low么,想象不到你真不是垃圾,0,1
男朋友你在哪里为什么还不出现,我没有男朋友,1,0
你打不过我吧,我绝对打赢你,1,0
你没电了会怎么样,你没电了，还会说话吗,1,0
你给我唱一首儿歌,帮我唱一首儿歌,0,1
哪些书是你读过的,你读过书吗,0,1
我今天特别难受,我好难受,0,1
今天有风吗,今天有风吗晚上有风吗,1,0
你给我叫爸爸快点,嗯你叫我爸爸我就会回来的快些,0,1
美少女是怎来的,怎么才能成为一个美少女,1,0
屏幕太黑了,屏幕太黑了看不见字吧,1,0
我要听搞笑,来一个笑话吧,0,1
你这么胖减什么肥,你这么胖该减肥了,1,0
打电话给婆妈,给婆婆妈打电话,0,1
可不可以设置动态壁纸,如何设置动态壁纸,1,0
母亲节送什么花,母亲节送什么花最好,1,0
信不信我拿你去换钱,信不信我把你给卖了,0,1
怎么不一样,不一样吗,1,0
你到底在哪里呀,我知道你到底在哪里了,0,1
我开心啊,我有很开心很高兴哦,0,1
你眼睛瞎了,你的眼睛没用,0,1
你好，你的天气怎么样,下雨没下,1,0
有啥用呢,你都能做些什么,0,1
为什么寄修按有验证码不显示,柰手机寄修为什么点不了验证码,1,0
我想大声告诉你,我就是想是的告诉你,1,0
我跟你讲个笑话吧,讲个笑话听一声,0,1
为什么我的手机语音助手不能语音呼醒,为什么我的手机呼叫助手没有声音了,1,0
你是不是人,你觉得你和人一样吗,0,1
环保不是一个人的事,环保可不是别人的事,1,0
打开滴滴秀,打开滴滴打车,1,0
双色球开奖公告,色球开奖,1,0
给你放个屁,来放个屁,0,1
你要不要跟我聊天,跟我闲聊吗,0,1
OPPO怎么叫,怎么叫OPPO手机,0,1
给我交出来,给我拿出来,0,1
你眼睛好小,眼睛小小的很好看,1,0
请帮我讲一个故事,讲个故事,0,1
我吃过饭了,我吃好了,1,0
我手机打话打不出去,手机打不出去,0,1
24节气是什么,24节气有哪些,0,1
为何我又不理我了,为什么我不理我了,0,1
春节倒计时是多少,春节还有多少天,1,0
那你快点啊,你能不呢快一点出来,1,0
抖音小视频岂打开,抖音软件打不开,1,0
怎么设置滑动右下角返回,手机右下角怎么设置返回键,1,0
小布帮我查速递,怎么查快递,1,0
怎么降温,突然降温，怎么回事,1,0
烟花易冷，我想听,放一首烟花易冷的诗篇,1,0
怎么暂停一段音乐,我不喜爱这首歌,1,0
双色球中奖,查询双色球开奖结果,0,1
你真的不爱我吗,你为什么不爱我呢,1,0
一点都不好笑哎,我的看法是没有让我笑,0,1
你们有钱吗,你们肯定有钱吧,0,1
那你知道什么呀,你知道什么啊,0,1
我不爱你了哦,我不爱你,0,1
最近的服务网点,离我最近的服务网点在哪里,0,1
六十分钟叫我,计时六十分钟,0,1
打电话666,电话666,1,0
556打电话,558打电话,0,1
个五点半的闹钟,设置个五点半的闹钟,0,1
闹钟定的十六点四十,定一个六点四十的闹钟,1,0
说你呢你现在时不听话了,你们都不听话吗,1,0
你不擅长什么,你不会啥,0,1
我说我热,我感觉很热,1,0
他早就出来了,早就出来了,1,0
我跟你说话你没听见吗,听不到我说话的声音吗,0,1
你能画一幅画给我们看吗,那你画出来给我看,0,1
为什么屏幕是黑的,为什么我的屏幕动不动就黑呀,0,1
我爱上你了,对呀我现在已经爱上你了,0,1
你不是我女朋友吗,你是不是我的女朋友,1,0
关确定关机,请帮我关机重启,0,1
以后你叫我哥,请叫我哥,0,1
你真的觉得好笑吗,这一点都不好笑,1,0
录屏怎么开声音,录屏怎样能录上声音,0,1
我说你是个什么东西,你是什么东东,0,1
这两个东西,两个东西,0,1
a32cpu和a32cpu的分别,oppo a32的cpu有几个本,1,0
我要去那个,好我要去,1,0
手机无信号,手机无信号信号差,0,1
你可不可以陪我聊会儿天,能不能陪我聊会儿天,0,1
你就是我的全世界,我真的好爱你哦,0,1
我什么时候说喜欢你了,我昨天什么时候说喜欢你了,1,0
跟你说话了,跟你说了,0,1
游戏空间怎么在游戏里里面打开,如何呼出游戏空间,0,1
手机开关机键失灵怎么样处理,手机开机键失效,1,0
公交卡删除,公交卡怎么删除,1,0
你知道个啥,你还懂什么,0,1
k7的电池容量,k7电池续航,1,0
那不就好了,那不就完了,0,1
我最爱谁,我最爱的人是谁,0,1
你怎么可能不睡觉啊,你怎不睡觉,0,1
你才不是一个人呢,那你不是人,0,1
我想查一下我手机是不是真的,我想查一下是不是正品,0,1
我遇到了坏人怎么办,我遇见坏人了怎么办,0,1
滑动退出应用,退出应用,1,0
明天早晨六点半叫我起床,明天早晨六点半起床,0,1
双击亮屏失灵,有时候双击亮屏失灵,1,0
内在比外在更有价值,好看的皮囊千篇一律有趣的灵魂万里挑一,1,0
可以发图片吗,可以给图片吗,1,0
你好小维斯,在吗小维斯,1,0
你唱一下歌,你会唱歌吗,1,0
明天放假不,明天能不能放假呀,1,0
叫啥玩意儿,啥破玩意儿,1,0
不知道你是否是帅的,请问我帅不帅,1,0
那你需要充电吗,你充电是怎么充的啊,1,0
我竟无言以对,难道是我错了,0,1
倒计时半小时,给我计时三十分钟,0,1
你是不是脑子有病,你是不是病了,0,1
k3屏幕总成价格是多少,k3换个主板多少钱,1,0
我的手机已经没电了,我的手机快没电了,0,1
你好能帮我查下我的订单吗,你好我想问问你是在哪里订单的,0,1
我想订屏幕，哪个牌子好,我要买个手机显示屏,1,0
可卡因是什么颜色的,可卡因的颜色,0,1
保险卡保修充电器,保修卡的保修限定包括充电器吗,1,0
我不能回去了,我不回来了,0,1
我们就是咱，我们就是我们，我们就是我们,我们这就是我们,1,0
你每天都上班吗,你一天24时都在吗,1,0
手机录制的视频在哪里,手机录屏保在哪,1,0
oppo手机怎么互传相片,oppo手机相互传资料怎么设置,1,0
oppok7密码忘了,oppok7把锁屏密码忘了,0,1
怎么把应用锁住,怎么把重要应用锁起来,1,0
你那个漂亮的大哥是谁,你大哥是谁,1,0
别闹都挺忙,能不能不要再干扰了,1,0
你真会跳广场舞,你会跳广场舞吗,1,0
乐大本营,快乐大本营,0,1
附近哪里有宾馆,附近有什么宾馆,0,1
老婆能不能快充,能不能用快充,1,0
你是狗么,越来越觉得一条狗是什么感觉,1,0
我现在用的是什么手机,现在什么手机,0,1
关于系统升级我不想要最新版的,我不想要系统升级,0,1
我是女的不是男的,我不是女孩我是男孩,0,1
我觉得你一点都不聪明,还有比你更笨的吗,0,1
手机摄像头打不开怎么回事,置摄像头打不开了,1,0
为什么手机连蓝牙耳机蓝牙耳机没有声音,为什么蓝牙耳机连接上但没有声音,0,1
没有人不知道我先回家,我先回家,0,1
OPPO一年生产多少手机,OPPO的年出货量多少,0,1
难道你主人不是傻子吗,你的主人是个傻子,1,0
被除数等于,被除数等于什么,0,1
给唱一首歌,那你唱一首歌,1,0
你都会什么话题,你都会什么啊,1,0
我的手机为什么没有网络,为什么我的电脑打开网络没有网络,1,0
想用英文对话,我想要学英语,1,0
谢谢嘿嘿,哈哈谢谢啦,0,1
手机右上角为什么会出现水滴标识,手机右上角有水滴图标是什么,0,1
为什么我看视频看着看着没有声音了,亲请问为什么我的开视频没有声音呢,0,1
和我比你弱的一批是什么歌,我比你强，什么意,1,0
和你说话很有趣，有趣的句子,你太会说话了吧。是什么意,1,0
一个睡前故事,再讲一个睡前故事,1,0
我出了点问题,我有个问题,0,1
手表有电子保卡吗,手表能添加电子保卡吗,1,0
为啥我照片删不掉,欧珀为什么些许照片删不掉,1,0
不给你玩了,不把它给你玩了,0,1
当然是你了，是什么意,不是你的不是你是谁,1,0
你会保护我隐私吗,保护你会保护我吗,1,0
你给你唱一个，我给你唱一下,再给我唱一个歌,1,0
因为爱情，为爱情,因为没有情爱,1,0
手机死机关机,刚才手机关机,1,0
之前的那个,我之前那个,1,0
我出去玩了,你凭什么控制我啊？,1,0
你有没有用,有什么用啊你,1,0
好好说话,说话呀说话呀,0,1
我想看一些宝宝巴士电影,怎么放宝宝巴士,1,0
现在是晚上了么,现在是夜晚你好吗,0,1
你这真没劲,无不无聊啊,1,0
我是女的吗,我是女的好吗,1,0
哪里可找到维修,哪里维修手机好,1,0
我在想你你在干嘛,难道我不知道你在干嘛,0,1
你太菜了,你一点都不棒,0,1
美人鱼真人版好看吗？真人版的好看吗,美人鱼真人版影片,1,0
双色球开多少,双色球的中奖号码,0,1
我玩了不要讲了，怎么办,不讲了不讲了,1,0
怎么查看手机是不是新机,查看手机是不是新机,1,0
你是最丑的,你真的很丑,1,0
你真的很棒,你肯定是最好的,0,1
我成功了吗,凭我的努力，一定能成功的,1,0
附近有什么奶茶店,附近的奶茶店有哪些,0,1
是什么玩意儿,啥玩意儿啊,0,1
关掉了关掉了,可以关掉了,1,0
请教我什么,能学到什么我,1,0
你没意思,真的太没有意思了,1,0
图片私密相册在哪,图片被私密了在哪找,0,1
你在干什么工作,做啥工作的恩爱你,1,0
你是哪的,你老家是哪里的,1,0
小布我们来玩脑筋急转弯,再出一个脑筋急转弯,0,1
再换一首歌曲,再来一首歌曲,0,1
你发走的那个是什么歌,你发的什么,1,0
和我讲个秘密,秘密你听不听,0,1
手机玩游戏就声音很小,玩游戏声音很小,0,1
我来问你是否愿意来回答我呢,我来问你来答,1,0
打开qq发信息怎么示,我的qq号,1,0
你留的什么发型,你头发是什么颜色的呢,1,0
手机的黑名单在哪里？,在哪里可以尝试手机黑名单？,1,0
我刚刚叫你，我不理你,刚刚，你怎么不理我了,1,0
备忘录备忘录,开启备忘录,0,1
你认得我吗,你觉着我好吗,1,0
你是喜欢的熊猫吗,你喜欢熊猫吗,0,1
你想干什么,做什么呀你要,1,0
你肯定很丑啊,你长得真丑,0,1
听到没有啊,听到了没有,0,1
我可以做你爸爸吗,我要做你爸爸,1,0
你知道我爱你吗,我爱你呀,0,1
oppoa5手机充电提示音怎么处理,oppoa5怎么设置充电启动音,1,0
不要说再见了,不说了再见,0,1
要不要叫我爸爸,能不能叫我爸,0,1
什么歌曲,这首歌的歌名叫什么,0,1
下班了吗,妹下班了吗,0,1
我跟你上床，我很开心,我可以和你上床吗,1,0
小布可以开启语音助手,可以语音开启小助手吗,1,0
我当然喜欢你啦,我最喜欢的人就是你,0,1
心里都是我老婆,我很爱我老婆,1,0
手机语音助手怎么唤醒,如何使唤醒语音助手,0,1
我爱你，爱我吗,我爱你不代表你喜欢你,1,0
小步小步我帅吗,小步小步我怎么可能会不帅呢,0,1
拜拜了我生气了,可是我生气了,0,1
我对你的感情就爱你,我爱的是你,0,1
小猫喜欢吃什么,你喜欢吃什么,1,0
播放的故事,帮我放个故事,1,0
你不要这个声音换别的好吗,可以改你的声音吗,1,0
为什么指纹解锁就无法用了,指纹为什么没法用了,0,1
讲一个好听的笑话,讲一个非常好笑的笑话,0,1
来了笑话,讲个笑话听,0,1
先生我可以帮你什么吗,有什么可以帮助你,0,1
这个天太冷了,我感觉很冷,0,1
换真人来,能不能换个真人来,0,1
你写一下,给我写一个,1,0
启动猜灯谜游戏,我要玩谜语,0,1
现在什么时了,北京时间是什么时,1,0
辛苦了你了,你真的很不容易吗,0,1
我生病了怎么办,生病了怎么办,0,1
手机来电闪光灯,来电话闪光灯,0,1
请叫我主人,跟我学着说主人,1,0
给你点阳光你就绚烂,给我点颜色你就开染房,1,0
我还是个宝贝,我还是个宝宝,0,1
我的问题谁能帮我,你能帮我吗,1,0
四时田园杂信,四时田园杂兴,1,0
你是不是不愿意跟我聊天啊,你好像不喜欢跟我聊天,0,1
一般持有保修卡能保修多久,保修卡多长时间,1,0
荒野大镖客2,你听过荒野大镖客2吗,1,0
关闭省电,B省电关闭省电,0,1
安卓手机的充电提示音怎么设置,充电提示音怎录,1,0
到2021年春节还有多少天,还有多少天到春节,1,0
拯救世界又是你吗,你又要去拯救世界了吗,0,1
你可以唱首歌吗,你唱一个歌,1,0
走了哦拜拜,没事你可以走了拜拜,0,1
我的相册删去了能不能恢复,怎么恢复相册,1,0
我想听你唱歌,小小我想听首歌,1,0
关机了你咋写,你咋写,1,0
你知道太阳,你知道太阳吗,1,0
你会什么呢,那有啥用,0,1
你陪我聊聊天,真的好想跟你天天这样聊聊,0,1
你是不是太笨了,那你太笨了,0,1
OPPO手机不见了怎么办,手机不见了怎么办,1,0
手机充多长时间电就好了,OPPO手机多长时间能充满电？,1,0
我现在心里面很不舒服,我心里不是滋味,0,1
如何在黑名单里面把人拉出来,怎样才能把卡在上从黑名单里面移出来呢,1,0
我就等你了,我等你吧,0,1
480除以四,480除以四等于多少,0,1
启动笑话段子,笑话老婆,1,0
你平时都在干嘛,我说你在干嘛呀,0,1
为啥打不开软件,有的软件为什么打不开,0,1
你要找什么,你在找什么,1,0
我可以帮助你,我来帮你,1,0
你最难忘的事是什么,你有哪些难忘的经历,1,0
我想约会,约会我想和你,0,1
四字开头的成语,开头的四字成语,0,1
能不能语音召唤,语音功能能不能用语音召唤,0,1
你好我手机屏幕坏了怎么寄修,屏幕坏了怎么修,0,1
你个傻妞,你个傻逼你个傻逼,0,1
该休息了,知道了休息吧,0,1
我找到你了,我已找到你了,0,1
你怎么能想我呢,想我了怎么办呢,0,1
我现在就想写小学作业了,作业我要写了,1,0
我刚刚说的是你以来,你刚才说的什么,1,0
明天我就给你,明天给你,0,1
拼多多如何取消订单,拼多多怎么取消变订单,1,0
小布的位置权限怎么获取,怎么开启小布位置权限,1,0
有人在聊天,有人在聊你,1,0
为什么让我不高兴呢,哦不开心,1,0
你不说话啊,没说话啊,0,1
我是你爹地,你只需要知道我是你爸爸就好了,0,1
我不想喂你吃饭,我不想请你吃饭,0,1
我心里不踏实,我心里有鬼,0,1
小布你有什么功能呢,能干啥呀,0,1
下班了我你们也要下班了吧,我要下班,1,0
手机是5g卡不是可以用人5g吗,这个是5g手机吗可以用5g卡吗,0,1
好难听的和你说,难听死了,1,0
开启精英模式,精英模式,1,0
大概差不多,应该是一样的,0,1
你怎么不睡觉呀,赶紧睡吧,1,0
手机号码密码不记得了怎么激活,手机的激活密码忘记了怎么办,1,0
系统升级后软件无法使用,软件无法升级,0,1
怎么查手机是否还在保修,手机保修怎么查,0,1
你说这废话干啥,你这不是废话吗,1,0
想你干嘛呢,为什么要去想你,0,1
高考必胜技巧,咋样高考,1,0
好好睡觉吧,睡觉吧好不好,0,1
你有几个孩子,难道你没有孩子吗,0,1
我在襄阳，你还不休息,你都不休息了,1,0
oppo密码忘记,op密码忘记了,0,1
不给你看能怎么的,我不给你看,0,1
把这张照片拍下来,拍照留念,0,1
给我唱首歌吧,给我来一首歌曲吗,0,1
你知道了吗,你知道个啥,1,0
没听清没事,没听懂就算了,0,1
请给我唱一首歌,你能唱首歌给我吗,0,1
OPPOR15屏幕总成多少钱,oppoR15屏幕多少钱,1,0
我不需要你陪,我自己可以的你不用来了你要相信我,0,1
那你愿不愿意嫁我,嫁给我吧,0,1
有哪些不用网络就可以玩的游戏,不用为流量和网络就可以玩的游戏,0,1
得以用手机提示音吗,手机充电提示音可以设置吗,1,0
24除以四,24除四,1,0
帮我读信息,一读短信,0,1
我是多少尺寸的,我的手机尺寸是多少,0,1
没想到你不是男孩,原来你是女孩子呀,0,1
我知道很好很好,哇，这么好啊,1,0
