input	target
这是哪种类别的专利？_用于为增量冗余 HARQ 通信设备生成低密度奇偶码的装置和方法_本发明涉及一种用于基于大小为m×n的第一图元图矩阵P生成大小为(m×n)的第二图元图矩阵P的装置和方法，其中第一图元图矩阵P定义第一码H ，其中第二图元图矩阵P定义第二码H。该装置包括处理器，用于基于第一图元图矩阵P使用行分割来生成大小为(masked d)×(nimd)的辅助图元图矩阵；产生d个随机整数，其中d个随机整数；生成大小为d×(灵活m)的二进制矩阵M，其中二进制矩阵M的行是基于d个随机整数生成的；通过对二进制矩阵M进行求积来生成矩阵M'。生成大小为d×d的矩阵I，其中矩阵I具有零循环移位作为对角元素，并且具有空循环移位作为非对角元素。生成大小为(massid)×d的矩阵C和大小为d×(massid)的矩阵C，其中矩阵C和矩阵C仅包括空循环移位等步骤。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_无线通信系统的屏蔽方法及装置_本发明实施例涉及通信领域，具体涉及一种无线通信系统的屏蔽方法及装置，用于干扰下行子帧的参考导频信号所占据的时频位置。在本发明实施例中，通过空端口监听获得待屏蔽小区的配置信息，该配置信息包括小区频点、帧定时、时隙定时和接收功率。根据帧时序和时隙时序，确定待屏蔽小区的参考导频信号占据的时频位置；根据小区频点和接收功率，产生同频干扰信号。将同频干扰信号加载到参考导频信号占据的时频位置，使得屏蔽系统将干扰信号加载到下行子帧的参考导频信号占据的时频位置。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_路由发布方法及装置_本申请提供一种路由发布方法及装置。在本应用中，网络设备控制路由的释放速度，使路由在释放前成功发送到硬件，避免因路由已下发但尚未发送到硬件而造成流量中断._选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_光收发节点中的实现方法及光收发节点_第一光收发器节点包括用于发射输入光信号的激光器、耦合到激光器并且用于将输入光信号分离成LO光信号和未调制光信号的第一分光器，以及耦合到第一光信号的接收器。分路器，用于接收来自第一分路器的LO光信号。从第二光收发器节点接收调制光信号，其中调制光信号是未调制光信号的调制版本，并且LO光信号用于执行调制光信号的相位噪声消除。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_基于图着色理论的共存无线域网络干扰消除方法_本发明公开了一种基于图着色理论的无线共存域网间干扰消除方法。该方法包括干扰图构建和图着色两个阶段，其中，在干扰图构建阶段，确定网络中源节点与协调器之间的上行通信方式是直接传输还是中继转发。然后，以与源节点对应的距离接收机最远的干扰节点为参考，通过测量源节点的干扰信号强度为源节点建立干扰集。在图着色阶段，将不同的时隙映射为不同的颜色，首先，对相互干扰的节点分配不同的颜色，以减轻网络间的干扰；然后，根据传感器节点采集数据的多样性，为数据传输速率高的节点分配多种颜色，从而进一步提高服务质量（Quality??of??Service,QoS）、资源利用率和网络的网络容量。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_信号传输方法、基站及用户设备_本发明涉及一种信号传输方法、基站和用户设备。参考信号的符号与为多个用户设备配置的数据的符号在一个子帧中的时域位置关系满足前提一和前提二。第一个前提是每个用户设备的参考信号所需的资源都包含在多个参考信号的符号中，第二个前提是至少满足以下条件之一：每个用户设备的多个参考信号是在参考信号的符号中设置在每个用户设备的数据的符号之前，和/或在参考信号的符号中在每个用户设备的数据的符号之后。从而有效节省了发送参考信号的成本，满足了资源设计的要求。并且用户设备的部分或全部可以将其参考信号包含在多个参考信号的符号中，从而进一步提高了用户设备的解调性能。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_自适应调制编码AMC的方法及AMC控制器_在高级自适应调制和编码 (AMC) 方案中，低密度奇偶校验 (LDPC) 码的码率和奇偶校验矩阵 (PCM) 根据调制格式和可变迭代接收器进行调整。 PCM 调整的度数分布是通过启发式优化设计的，以通过有限迭代解码的外部信息传输 (EXIT) 轨迹分析来最小化所需的 SNR。该方法通过生成用于准循环 LDPC 卷积编码的空间耦合 PCM 来使用动态窗口解码。该方法还提供了一种联合优化高阶和高维调制的标记和解码复杂度的方法。为各种调制格式和可变迭代解码使用大量不同的 LDPC 码的问题也通过迭代计数的线性相关 PCM 调整来解决，以保持使用公共生成器矩阵。 PCM调整可以提高置信传播解码的收敛速度，减少错误平台问题。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_圆形 4G LTE MIMO 车载天线_一种圆形4G LTE MIMO车载天线，包括第一PCB板、第二PCB板和第三PCB板；第一PCB板和第二PCB板在空间上垂直排列，第一PCB板和第三PCB板在空间上平行排列。第一PCB板为圆板，第一PCB板上设有第三辐射器和第四辐射器，天线地和槽设置在第一PCB板上第二PCB板为矩形板，第二PCB板设有第二辐射器、第一调谐器和第二调谐器；第三PCB板为矩形板，第三PCB板上设有第一散热器。第一PCB板、第二PCB板和第三PCB板均为厚度为1mm的聚四氟乙烯板。第一辐射器、第二辐射器、第三辐射器、第四辐射器、第一调谐器、第二调谐器和天线地都是由贴在每块PCB板上的铜箔组成； PCB板通过施加的铜箔进行电连接。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_一种基于量子网络分流传输的量子态隐形传态方法_本发明公开了一种量子网络中基于分流传输的量子态隐形传输方法。 Alice 向 Bob 发送一个未知的多维多量子比特纠缠状态，包括：Alice 通过经典信道通知中心服务器未知多维多量子比特纠缠状态的 qudit 总数，中心服务器选择传输路径的数量和路径上的中继节点数量，使qudit通过p条路径并行均匀地传输。在每个中继节点的协助下，中心服务器坐标，在 Alice 和 Bob 之间建立 p 个量子通道； Alice通过不同的量子信道将未知的多维多量子比特纠缠态传输给Bob；Bob进行幺正运算恢复未知的多维多量子比特纠缠态，并完成传输过程。本发明实现了未知多维多量子比特纠缠态在多条传输路径上的并行传输，链路动态灵活，能够满足构建复杂量子通信网络的需求。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
这是哪种类别的专利？_一种特殊布局的天线阵列_一个特殊布局的天线阵包括3个低频辐射单元，分3排排列，至少10个高频辐射单元分为四组高频阵和反射器。第一组高频阵列位于第一排低频辐射单元和第二排低频辐射单元之间。第一组高频阵列由偶数个高频辐射单元组成，两排和多排排列整齐。第二组高频阵列布置在第二排低频辐射单元的左侧，第三组高频阵列位于第二排低频辐射单元和第三排低频辐射单元之间低频辐射单元，第三组高频阵列由偶数个高频辐射单元组成。第四组高频阵列排列在第四排低频辐射单元的右侧。该专利避免了多频段天线阵列组合中的物理干扰，缩小了天线尺寸并降低了成本，提高了水平面波束的收敛性，降低了不同频段辐射元的电磁干扰，提高了天线的整体性能。_选项：通信/信号/天线,农业/基因/养殖,服装/基建/机械,存储/数据/信息,精算/终端/交通,材料/化学/生物,智能/科技/算法,监测/杀菌/环保,医疗/疾病/细胞,图像/视频/画面,光电/电子/元件,焊接/机械/制造,传感/显示/三维,冶炼/化合/制备,石油/降解/回收,电力/设备/电缆,光伏/发电/配件,电池/驱动/工装,无机/制备/涂层,风电/监测/控制,药物/合成/生物,复合/纳米/超导,建筑/测定/试验,钢材/腐蚀/生产,车辆/轨道/列车,聚合/纤维/材料,导航/接收/航天,矿产/水利/岩土,烧结/锅炉/洗砂,能源/充电/调度,食品/水产/加工,技术/装置/系统,设备/方法/装置,海洋/开采/机械,航空/航天/控制,数据/广告/信息_答案：	0
